paper_id,title,area,venue,citation_1y_baseline,author_count,venue_prestige,abstract_length,concept_count,actual_volume,predicted_volume,predicted_volume_raw,single_call_volume,actual_velocity,predicted_velocity,predicted_velocity_raw,single_call_velocity,actual_reach,predicted_reach,predicted_reach_raw,single_call_reach,actual_depth,predicted_depth,predicted_depth_raw,single_call_depth,actual_disruption,predicted_disruption,predicted_disruption_raw,single_call_disruption,actual_translation,predicted_translation,predicted_translation_raw,single_call_translation,pipeline_status,original_composite_score,top_candidate_id,top_candidate_operator,top_candidate_score,variant_improvement,original_dominated,pareto_selected_count,linear_volume,linear_velocity,linear_reach,linear_depth,linear_disruption,linear_translation,mean_volume,random_volume,mean_velocity,random_velocity,mean_reach,random_reach,mean_depth,random_depth,mean_disruption,random_disruption,mean_translation,random_translation
https://openalex.org/W2896457183,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,cs,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),1730,2,1,127,12,40705,75,1308.663,64,1730,70,470.609,60,483,83,25.938,57,175,48,48.0,47,-0.5166666666666667,58,0.16,60,9,41,20.177,34,scored_only,69,,,69,0,False,0,10075.42683539132,1729.999999999998,1636.1892231820052,611.3828731140759,-5.140021678479647,-620.7264127625111,1753.3666666666666,263.0,101.1,24.0,448.6333333333333,477.0,74.76666666666667,31.0,-0.43038845779696533,-0.4,43.8,60.0
https://openalex.org/W2808519136,Crowd Counting using Deep Recurrent Spatial-Aware Network,cs,,51,5,0,194,12,189,92,2072.348,71,51,97,980.451,77,383,71,22.188,52,60,61,61.0,50,-0.9333333333333333,58,0.16,60,5,35,14.133,27,scored_only,70,,,70,0,False,0,1401.4458347531838,51.00000000000005,397.9096063406396,48.289982011650494,-0.4343115867259213,28.972265107769754,1753.3666666666666,135.0,101.1,128.0,448.6333333333333,833.0,74.76666666666667,175.0,-0.43038845779696533,-0.5333333333333333,43.8,118.0
https://openalex.org/W2792643794,Deep Learning using Rectified Linear Units (ReLU),cs,arXiv (Cornell University),84,1,1,216,12,2252,70,1120.497,53,84,60,332.682,45,833,85,26.562,62,77,66,66.0,58,0.21666666666666667,60,0.2,63,29,37,16.016,37,scored_only,70,,,70,0,False,0,1163.3138209765493,84.00000000000003,375.9139044695238,81.6115779712606,-0.504404907399107,32.8531028133276,1753.3666666666666,572.0,101.1,129.0,448.6333333333333,252.0,74.76666666666667,21.0,-0.43038845779696533,0.18518518518518517,43.8,9.0
https://openalex.org/W2886641317,"Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning",cs,,47,4,0,68,12,1478,89,1923.391,57,47,95,935.551,59,371,80,25.0,65,105,71,71.0,37,-0.7833333333333333,52,0.04,55,5,25,6.629,27,scored_only,71,,,71,0,False,0,628.9921265469923,47.00000000000002,554.5864034440779,88.6427417641515,-0.9777586172873929,52.492650674828184,1753.3666666666666,1541.0,101.1,51.0,448.6333333333333,452.0,74.76666666666667,207.0,-0.43038845779696533,-0.8,43.8,9.0
https://openalex.org/W2903285529,Practical Text Classification With Large Pre-Trained Language Models,cs,arXiv (Cornell University),7,4,1,238,12,40,99,2444.101,72,7,100,1050.0,73,252,83,25.938,61,7,79,79.0,52,-0.25,73,0.46,73,1,35,14.133,35,scored_only,76,,,76,0,False,0,-379.89740807881253,6.999999999999994,426.3117631645843,63.27269137213088,-0.3365031779427641,39.22445954913251,1753.3666666666666,27.0,101.1,37.0,448.6333333333333,266.0,74.76666666666667,103.0,-0.43038845779696533,-0.13793103448275862,43.8,29.0
https://openalex.org/W2964277374,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,cs,,128,3,0,164,12,1011,73,1231.449,55,128,69,455.617,53,409,78,24.375,57,103,51,51.0,45,-1.0,61,0.22,63,5,25,6.629,27,scored_only,69,,,69,0,False,0,3242.2451730667644,127.99999999999999,433.3680142732264,65.1082610326236,-0.5206767276402742,27.82748483644092,1753.3666666666666,150.0,101.1,7.0,448.6333333333333,546.0,74.76666666666667,60.0,-0.43038845779696533,-0.4090909090909091,43.8,12.0
https://openalex.org/W2964189376,DiSAN: Directional Self-Attention Network for RNN/CNN-Free Language Understanding,cs,Proceedings of the AAAI Conference on Artificial Intelligence,200,6,3,191,12,704,100,2500.0,88,200,100,1050.0,91,561,66,20.625,57,101,57,57.0,56,-0.7666666666666667,85,0.7,81,9,25,6.629,27,scored_only,76,,,76,0,False,0,3402.7080378839373,200.0,550.5334065035232,125.55521304068003,-0.43028737740760414,92.08843620872199,1753.3666666666666,1011.0,101.1,2.0,448.6333333333333,371.0,74.76666666666667,25.0,-0.43038845779696533,-0.25,43.8,5.0
https://openalex.org/W2962818281,Black-Box Generation of Adversarial Text Sequences to Evade Deep Learning Classifiers,cs,,44,4,0,158,12,572,64,915.893,54,44,60,332.682,51,431,70,21.875,57,84,51,51.0,42,-0.6833333333333333,63,0.26,65,9,25,6.629,27,scored_only,66,,,66,0,False,0,1040.7805139688533,44.00000000000013,433.2483240483057,61.55956725250917,-0.6010281764850482,32.52532771736496,1753.3666666666666,214.0,101.1,200.0,448.6333333333333,593.0,74.76666666666667,91.0,-0.43038845779696533,0.21666666666666667,43.8,19.0
https://openalex.org/W2788810909,Targeted Aspect-Based Sentiment Analysis via Embedding Commonsense Knowledge into an Attentive LSTM,cs,Proceedings of the AAAI Conference on Artificial Intelligence,129,3,3,138,12,575,97,2334.406,75,129,100,1050.0,84,478,78,24.375,57,132,60,60.0,52,-0.7666666666666667,84,0.68,82,3,59,45.762,27,scored_only,78,,,78,0,False,0,1006.7826905539309,128.99999999999991,663.5083886139205,149.06120144598714,-0.6644448473033475,105.51810209318354,1753.3666666666666,24.0,101.1,11.0,448.6333333333333,445.0,74.76666666666667,81.0,-0.43038845779696533,-0.7666666666666667,43.8,113.0
https://openalex.org/W2888329843,Dissecting Contextual Word Embeddings: Architecture and Representation,cs,,92,4,0,168,12,402,74,1269.73,56,92,59,320.336,45,538,70,21.875,57,66,61,61.0,53,-0.7333333333333333,74,0.48,73,12,25,6.629,27,scored_only,69,,,69,0,False,0,2359.4522017534023,92.00000000000006,410.25825545747193,62.75858669963108,-0.5511649184384648,29.03139612491161,1753.3666666666666,571.0,101.1,18.0,448.6333333333333,442.0,74.76666666666667,110.0,-0.43038845779696533,-0.43333333333333335,43.8,4.0
